District,Variety_Sampled,Age,Field_size(MSquared),Neighbor_ fields,lat,lon,Altitude,CBSD_Severity,CBSD_Incidence,CMD_Incidence,Adult_Population,Mean_adult_whitefly_per_Plant
Abim,TME 14,5,2500,4,2.64218,33.54822,1074,0,0,0,2,0.1
Abim,TME 14,5,400,2,2.71363,33.63469,1132,0,0,0,0,0
Abim,Nase 13,3,7200,2,2.7563,33.60443,1105,0,0,0,6,0.2
Abim,Nase 12,5,5400,6,2.72056,33.55786,1087,0,0,0,51,1.7
Nakasongola,TME 14,3,4800,3,1.33237,32.42659,1124,2,66.7,0,32,1.1
Nakasongola,Nase 14,4,1000,1,1.41966,32.43936,1064,0,0,0,700,23.3
Nakasongola,TME 14,3,500,2,1.4697,32.42251,1066,2.1,100,0,48,1.6
Nakasongola,0/0686,6,2000,3,1.51203,32.40818,1059,0,0,0,37,1.2
Nakasongola,Local,3,300,1,1.30157,32.50766,1049,2.1,100,3.3,1225,40.8
Nakasongola,Nase 14,3,200,3,1.31247,32.58484,1042,0,0,0,882,29.4
Nakasongola,Nase 14,4,1500,3,1.32863,32.64061,1045,0,0,0,171,5.7
Nakasongola,TME 14,5,200,3,1.2855,32.66724,1076,2.2,100,0,1,0
Nakasongola,Nase 14,4,300,3,1.25408,32.71259,1069,2,3.3,0,55,1.8
Nakasongola,Nase 14,3,300,1,1.19876,32.73804,1069,0,0,0,211,7
Nakasongola,TME 14,5,500,2,1.17254,32.77131,1065,0,0,0,35,1.2
Nakasongola,Nase 14,4,400,2,1.1295,32.76821,1056,0,0,0,15,0.5
Nakasongola,Nase 3,3,150,3,1.12551,32.76173,1064,0,0,0,44,1.5
Nakasongola,Nase 14,3,300,4,1.12578,32.75681,1064,0,0,0,250,8.3
Nakasongola,TME 14,3,280,2,1.08957,32.72903,1061,2,100,0,81,2.7
Nakasongola,Local,3,500,1,1.10186,32.72791,1069,3.1,100,100,155,5.2
Nakasongola,Nase 14,3,250,2,1.10783,32.7238,1070,0,0,0,159,5.3
Nakasongola,Nase 14,4,260,4,1.40729,32.27118,1088,0,0,0,95,3.2
Nakasongola,TME 14,4,200,4,1.36139,32.36753,1100,2,100,0,258,8.6
Nakasongola,TME 14,5,1000,3,1.30925,32.42221,1106,0,0,0,116,3.9
Luwero,TME 14,4,150,2,1.00498,32.46954,1075,2,93.3,0,84,2.8
Luwero,Njule Red,4,800,2,0.94673,32.47029,1094,2.3,43.3,13.3,78,2.6
Luwero,Local,3,600,2,0.89882,32.4804,1108,0,0,0,21,0.7
Luwero,Local,3,280,2,0.86932,32.51936,1113,0,0,0,770,25.7
Luwero,Local,3,375,3,0.84645,32.57205,1118,3,6.7,16.7,89,3
Luwero,Local,3,450,2,0.83398,32.63229,1113,2,66.7,0,179,6
Luwero,Nase 4,2,200,2,0.87345,32.64796,1085,0,0,0,104,3.5
Luwero,Local,3,300,3,0.84323,32.50816,1086,0,0,0,333,11.1
Luwero,Local,3,9600,2,0.61556,32.62212,1141,2.1,100,6.7,76,2.5
